PdfType: central
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2 3 -1 -2 -3 
-1.582410e-07 8.506011e-08 0.000000e+00 5.510320e-07 -5.510320e-07 0.000000e+00
-1.520827e-07 8.457495e-08 0.000000e+00 5.510318e-07 -5.510318e-07 0.000000e+00
-1.457710e-07 8.407771e-08 0.000000e+00 5.510318e-07 -5.510318e-07 0.000000e+00
-1.393119e-07 8.356886e-08 0.000000e+00 5.510318e-07 -5.510318e-07 0.000000e+00
-1.327110e-07 8.304885e-08 0.000000e+00 5.510317e-07 -5.510317e-07 0.000000e+00
-1.259745e-07 8.251814e-08 0.000000e+00 5.510317e-07 -5.510317e-07 0.000000e+00
-1.191085e-07 8.197720e-08 0.000000e+00 5.510316e-07 -5.510316e-07 0.000000e+00
-1.121190e-07 8.142658e-08 0.000000e+00 5.510316e-07 -5.510316e-07 0.000000e+00
-1.050121e-07 8.086670e-08 0.000000e+00 5.510316e-07 -5.510316e-07 0.000000e+00
-9.779404e-08 8.029805e-08 0.000000e+00 5.510315e-07 -5.510315e-07 0.000000e+00
-9.047075e-08 7.972111e-08 0.000000e+00 5.510315e-07 -5.510315e-07 0.000000e+00
-8.304804e-08 7.913635e-08 0.000000e+00 5.510315e-07 -5.510315e-07 0.000000e+00
-7.553172e-08 7.854421e-08 0.000000e+00 5.510315e-07 -5.510315e-07 0.000000e+00
-6.792727e-08 7.794512e-08 0.000000e+00 5.510314e-07 -5.510314e-07 0.000000e+00
-6.024010e-08 7.733952e-08 0.000000e+00 5.510313e-07 -5.510313e-07 0.000000e+00
-2.757433e-07 1.241367e-07 0.000000e+00 7.317486e-07 -7.317486e-07 0.000000e+00
-2.702317e-07 1.236795e-07 0.000000e+00 7.317486e-07 -7.317486e-07 0.000000e+00
-2.645078e-07 1.232046e-07 0.000000e+00 7.317485e-07 -7.317485e-07 0.000000e+00
-2.585725e-07 1.227122e-07 0.000000e+00 7.317485e-07 -7.317485e-07 0.000000e+00
-2.524275e-07 1.222024e-07 0.000000e+00 7.317485e-07 -7.317485e-07 0.000000e+00
-2.460754e-07 1.216755e-07 0.000000e+00 7.317484e-07 -7.317484e-07 0.000000e+00
-2.395189e-07 1.211315e-07 0.000000e+00 7.317484e-07 -7.317484e-07 0.000000e+00
-2.343078e-07 1.206992e-07 0.000000e+00 7.317484e-07 -7.317484e-07 0.000000e+00
-2.327617e-07 1.205709e-07 0.000000e+00 7.317484e-07 -7.317484e-07 0.000000e+00
-2.252553e-07 1.199482e-07 0.000000e+00 7.317484e-07 -7.317484e-07 0.000000e+00
-2.175260e-07 1.193070e-07 0.000000e+00 7.317484e-07 -7.317484e-07 0.000000e+00
-2.095798e-07 1.186478e-07 0.000000e+00 7.317483e-07 -7.317483e-07 0.000000e+00
-2.014236e-07 1.179711e-07 0.000000e+00 7.317483e-07 -7.317483e-07 0.000000e+00
-1.930645e-07 1.172777e-07 0.000000e+00 7.317482e-07 -7.317482e-07 0.000000e+00
-1.845099e-07 1.165680e-07 0.000000e+00 7.317482e-07 -7.317482e-07 0.000000e+00
-1.757678e-07 1.158427e-07 0.000000e+00 7.317482e-07 -7.317482e-07 0.000000e+00
-1.668459e-07 1.151025e-07 0.000000e+00 7.317481e-07 -7.317481e-07 0.000000e+00
-1.577525e-07 1.143481e-07 0.000000e+00 7.317480e-07 -7.317480e-07 0.000000e+00
-1.484955e-07 1.135802e-07 0.000000e+00 7.317480e-07 -7.317480e-07 0.000000e+00
-1.390832e-07 1.127994e-07 0.000000e+00 7.317480e-07 -7.317480e-07 0.000000e+00
-1.295236e-07 1.120063e-07 0.000000e+00 7.317479e-07 -7.317479e-07 0.000000e+00
-1.198246e-07 1.112016e-07 0.000000e+00 7.317478e-07 -7.317478e-07 0.000000e+00
-1.099939e-07 1.103861e-07 0.000000e+00 7.317477e-07 -7.317477e-07 0.000000e+00
-1.000393e-07 1.095602e-07 0.000000e+00 7.317477e-07 -7.317477e-07 0.000000e+00
-8.996793e-08 1.087247e-07 0.000000e+00 7.317476e-07 -7.317476e-07 0.000000e+00
-7.978701e-08 1.078801e-07 0.000000e+00 7.317476e-07 -7.317476e-07 0.000000e+00
-3.652097e-07 1.731632e-07 0.000000e+00 9.718183e-07 -9.718183e-07 0.000000e+00
-3.579100e-07 1.725255e-07 0.000000e+00 9.718182e-07 -9.718182e-07 0.000000e+00
-3.503290e-07 1.718632e-07 0.000000e+00 9.718181e-07 -9.718181e-07 0.000000e+00
-3.424681e-07 1.711764e-07 0.000000e+00 9.718181e-07 -9.718181e-07 0.000000e+00
-3.343294e-07 1.704654e-07 0.000000e+00 9.718180e-07 -9.718180e-07 0.000000e+00
-3.259165e-07 1.697304e-07 0.000000e+00 9.718179e-07 -9.718179e-07 0.000000e+00
-3.172329e-07 1.689718e-07 0.000000e+00 9.718179e-07 -9.718179e-07 0.000000e+00
-3.103312e-07 1.683688e-07 0.000000e+00 9.718178e-07 -9.718178e-07 0.000000e+00
-3.082834e-07 1.681899e-07 0.000000e+00 9.718177e-07 -9.718177e-07 0.000000e+00
-2.983418e-07 1.673213e-07 0.000000e+00 9.718176e-07 -9.718176e-07 0.000000e+00
-2.881048e-07 1.664269e-07 0.000000e+00 9.718176e-07 -9.718176e-07 0.000000e+00
-2.775805e-07 1.655075e-07 0.000000e+00 9.718174e-07 -9.718174e-07 0.000000e+00
-2.667783e-07 1.645637e-07 0.000000e+00 9.718174e-07 -9.718174e-07 0.000000e+00
-2.557072e-07 1.635965e-07 0.000000e+00 9.718174e-07 -9.718174e-07 0.000000e+00
-2.443773e-07 1.626067e-07 0.000000e+00 9.718172e-07 -9.718172e-07 0.000000e+00
-2.327989e-07 1.615951e-07 0.000000e+00 9.718172e-07 -9.718172e-07 0.000000e+00
