PdfType: central
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2
-2.663616e-05 3.748289e-07
-1.201012e-04 5.260854e-07
-1.175767e-04 5.241576e-07
-1.149550e-04 5.221542e-07
-1.122364e-04 5.200772e-07
-1.094218e-04 5.179274e-07
-1.065123e-04 5.157053e-07
-1.035092e-04 5.134110e-07
-1.011224e-04 5.115887e-07
-1.004142e-04 5.110478e-07
-9.697606e-05 5.084209e-07
-9.343574e-05 5.057159e-07
-8.979611e-05 5.029358e-07
-8.606034e-05 5.000820e-07
-8.223156e-05 4.971571e-07
-7.831333e-05 4.941643e-07
-7.430914e-05 4.911053e-07
-7.022265e-05 4.879839e-07
-6.605756e-05 4.848022e-07
-6.181757e-05 4.815632e-07
-5.750643e-05 4.782699e-07
-5.312781e-05 4.749253e-07
-4.868535e-05 4.715317e-07
-4.418258e-05 4.680919e-07
-3.962303e-05 4.646091e-07
-3.501003e-05 4.610851e-07
-3.034685e-05 4.575231e-07
-1.369404e-04 6.428611e-07
-1.340614e-04 6.405072e-07
-1.310715e-04 6.380613e-07
-1.279712e-04 6.355258e-07
-1.247613e-04 6.329013e-07
-1.214433e-04 6.301884e-07
-1.180185e-04 6.273876e-07
-1.152965e-04 6.251616e-07
-1.144889e-04 6.245022e-07
-1.105680e-04 6.212946e-07
-1.065305e-04 6.179927e-07
-1.023798e-04 6.145979e-07
-9.811943e-05 6.111139e-07
-9.375304e-05 6.075427e-07
-8.928454e-05 6.038898e-07
-8.471809e-05 6.001556e-07
-8.005778e-05 5.963436e-07
-7.530782e-05 5.924601e-07
-7.047243e-05 5.885053e-07
-6.555591e-05 5.844853e-07
-6.056244e-05 5.804019e-07
-5.549617e-05 5.762568e-07
-5.036112e-05 5.720588e-07
-4.516131e-05 5.678052e-07
-3.990055e-05 5.635044e-07
-3.458255e-05 5.591556e-07
-1.561812e-04 7.866802e-07
-1.528970e-04 7.838002e-07
-1.494864e-04 7.808118e-07
-1.459497e-04 7.777128e-07
-1.422882e-04 7.745042e-07
-1.385032e-04 7.711866e-07
-1.345965e-04 7.677628e-07
-1.314914e-04 7.650409e-07
-1.305702e-04 7.642342e-07
-1.260975e-04 7.603150e-07
-1.214919e-04 7.562774e-07
-1.167571e-04 7.521282e-07
-1.118972e-04 7.478689e-07
-1.069163e-04 7.435040e-07
-1.018191e-04 7.390380e-07
-9.660996e-05 7.344710e-07
-9.129381e-05 7.298140e-07
-8.587546e-05 7.250647e-07
-8.035962e-05 7.202306e-07
-7.475123e-05 7.153156e-07
-6.905507e-05 7.103220e-07
-6.327587e-05 7.052574e-07
-5.741822e-05 7.001252e-07
-5.148668e-05 6.949260e-07
-4.548562e-05 6.896665e-07
-3.941926e-05 6.843503e-07
-1.781746e-04 9.642716e-07
-1.744272e-04 9.607466e-07
-1.705355e-04 9.570884e-07
-1.665001e-04 9.532944e-07
-1.623221e-04 9.493655e-07
-1.580033e-04 9.453038e-07
-1.535456e-04 9.411128e-07
-1.500025e-04 9.377812e-07
-1.489513e-04 9.367926e-07
-1.438478e-04 9.319940e-07
-1.385927e-04 9.270508e-07
-1.331900e-04 9.219709e-07
-1.276447e-04 9.167561e-07
-1.219613e-04 9.114115e-07
-1.161451e-04 9.059435e-07
-1.102013e-04 9.003539e-07
-1.041354e-04 8.946506e-07
-9.795276e-05 8.888350e-07
-9.165896e-05 8.829179e-07
-8.525956e-05 8.769012e-07
-7.876000e-05 8.707880e-07
-7.216570e-05 8.645882e-07
-6.548185e-05 8.583033e-07
-5.871372e-05 8.519380e-07
-5.186625e-05 8.454993e-07
-4.494430e-05 8.389900e-07
-2.033243e-04 1.184241e-06
-1.990472e-04 1.179920e-06
-1.946053e-04 1.175434e-06
-1.899993e-04 1.170779e-06
-1.852306e-04 1.165960e-06
-1.803012e-04 1.160982e-06
-1.752132e-04 1.155840e-06
-1.711693e-04 1.151753e-06
-1.699694e-04 1.150541e-06
-1.641444e-04 1.144657e-06
-1.581462e-04 1.138594e-06
-1.519798e-04 1.132364e-06
-1.456504e-04 1.125969e-06
-1.391635e-04 1.119416e-06
-1.325250e-04 1.112707e-06
-1.257409e-04 1.105855e-06
-1.188173e-04 1.098859e-06
-1.117607e-04 1.091727e-06
-1.045771e-04 1.084470e-06
-9.727295e-05 1.077090e-06
-8.985446e-05 1.069594e-06
-8.232788e-05 1.061989e-06
-7.469907e-05 1.054282e-06
-6.697407e-05 1.046477e-06
-5.915852e-05 1.038578e-06
-5.125797e-05 1.030597e-06
-2.320955e-04 1.457679e-06
-2.272121e-04 1.452368e-06
-2.221406e-04 1.446853e-06
-2.168818e-04 1.441132e-06
-2.114372e-04 1.435214e-06
-2.058091e-04 1.429093e-06
